,DistrictId,Total_Value,Mean_Price,Std_Price,Count,Cumulative_Value,Cumulative_Pct,ABC_Category,CV,XYZ_Category,Segment
0,27,132795500.25209163,156046.41627742848,51594.77220017066,851,132795500.25209163,0.06201373345558629,A,0.3306373413179989,Y,AY
1,1,122449121.93260537,187805.4017371248,49130.75355079202,652,255244622.184697,0.11919584576348861,A,0.2616045816379732,Y,AY
2,6,84890971.17742206,166127.14516129563,34489.47354699858,511,340135593.3621191,0.15883880090420388,A,0.20760889807329305,Y,AY
3,23,71664818.03004996,126840.38589389375,48453.07811684212,565,411800411.39216906,0.1923053183315413,A,0.38200039975733563,Y,AY
4,9,56132939.72775612,190928.3664209392,54563.91748507196,294,467933351.1199252,0.2185186550466212,A,0.2857821417943474,Y,AY
5,53,44498090.998221226,255736.15516219096,67764.87924053632,174,512431442.1181464,0.23929867205930347,A,0.264979659202114,Y,AY
6,62,42662794.65149822,172723.86498582276,57857.718168452775,247,555094236.7696446,0.25922163007343807,A,0.33497234544399385,Y,AY
7,30,38881063.82870186,170530.98170483272,74673.50162411551,228,593975300.5983465,0.2773785700613559,A,0.4378881824146522,Y,AY
8,45,35177477.76658403,303254.11867744854,90920.36020212655,116,629152778.3649305,0.29380598458756757,A,0.29981574726387333,Y,AY
9,21,32521333.878176358,197098.99320106884,72727.23718861003,165,661674112.2431068,0.3089930152242445,A,0.36898837486408653,Y,AY
10,34,31917008.31961601,287540.6154920361,81665.36714748164,111,693591120.5627228,0.3238978338579709,A,0.28401332802232765,Y,AY
11,8,30452620.223058112,214455.071993367,82633.62547875334,142,724043740.7857809,0.33811880271574046,A,0.3853190540595336,Y,AY
12,58,29049428.735908117,162287.31137378837,62353.42637901876,179,753093169.521689,0.3516844998007008,A,0.3842162757592501,Y,AY
13,61,27105367.103289336,229706.50087533335,76628.96469743458,118,780198536.6249784,0.3643423459443448,A,0.3335951068229574,Y,AY
14,46,26689479.987610806,224281.34443370425,81150.41830249593,119,806888016.6125892,0.3768059783330772,A,0.3618242012388299,Y,AY
15,11,26354030.43391213,204294.8095652103,52106.95957994549,129,833242047.0465014,0.38911296023913994,A,0.2550576771423706,Y,AY
16,48,25784321.648558244,286492.46276175824,105657.39147672924,90,859026368.6950597,0.4011538957152018,A,0.3687964090161491,Y,AY
17,52,24540979.905673627,171615.24409561977,56693.26291241718,143,883567348.6007333,0.4126142071242503,A,0.33035097325520274,Y,AY
18,13,24364270.625771977,251178.0476883709,86372.58587213824,97,907931619.2265053,0.42399199764846346,A,0.343869962630246,Y,AY
19,74,24019356.621937823,210696.11071875284,61573.018497649486,114,931950975.8484432,0.43520871791759824,A,0.2922361418424096,Y,AY
20,44,23913529.301893365,229937.78174897467,72800.53038758735,104,955864505.1503365,0.44637601823496426,A,0.3166096925605049,Y,AY
21,57,22987970.38921835,214840.84475905,69668.84673905358,107,978852475.5395548,0.45711109484294926,A,0.32428119902986385,Y,AY
22,7,22370244.656824153,243154.8332263495,97764.57891120802,92,1001222720.196379,0.46755770174492295,A,0.402067183341572,Y,AY
23,59,21588493.09578917,322216.314862525,124916.5670416617,67,1022811213.2921681,0.47763924105919614,A,0.3876792120068716,Y,AY
24,47,20721698.853372544,213625.76137497468,62869.37901510215,97,1043532912.1455407,0.4873159989839793,A,0.2942968048911868,Y,AY
25,17,20468234.682008702,346919.23189845256,141492.6427530571,59,1064001146.8275495,0.496874392509866,A,0.40785471009711477,Y,AY
26,41,19654917.613166284,225918.59325478488,81011.58422198186,87,1083656064.4407158,0.5060529777754854,A,0.35858750293571096,Y,AY
27,25,19317357.794561166,250874.7765527424,79687.29216166983,77,1102973422.235277,0.515073927092774,A,0.31763772052594874,Y,AY
28,101,19167590.58605855,197604.02666039742,60370.57145786623,97,1122141012.8213356,0.5240249371144478,A,0.30551286063425814,Y,AY
29,2,19007712.23536005,243688.6184020519,97456.05830982179,78,1141148725.0566957,0.5329012860715017,A,0.3999204351392112,Y,AY
30,94,18197337.038370475,204464.46110528623,78071.84957233554,89,1159346062.095066,0.5413992005833391,A,0.3818357926374965,Y,AY
31,85,18115445.364072107,238361.1232114751,90699.66697609064,76,1177461507.4591382,0.5498588727718108,A,0.38051367502418365,Y,AY
32,28,18058754.146089435,228591.82463404347,89587.56459131985,79,1195520261.6052275,0.5582920709150432,A,0.3919106238149247,Y,AY
33,99,17863272.475196484,184157.4481979019,48796.6272486586,97,1213383534.080424,0.5666339817163762,A,0.26497232518241715,Y,AY
34,31,17645671.5749947,320830.3922726309,122829.52034058339,55,1231029205.6554189,0.5748742757897389,A,0.3828487677570365,Y,AY
35,37,16895753.076246593,234663.23717009157,76562.50005149031,72,1247924958.7316654,0.5827643678923533,A,0.3262654217797026,Y,AY
36,84,16860914.618200053,210761.43272750065,73196.83825348862,80,1264785873.3498654,0.5906381908981444,A,0.3472971183875318,Y,AY
37,29,16699553.114563214,187635.42825351926,66159.21199933525,89,1281485426.4644287,0.598436660226608,A,0.35259445732149136,Y,AY
38,26,16684709.54738868,256687.83919059508,117981.39331921349,65,1298170136.0118175,0.6062281978065069,A,0.4596298511500979,Y,AY
39,66,15929587.831395155,256928.83599024444,110500.42251584305,62,1314099723.8432126,0.6136671035823669,A,0.4300818243696038,Y,AY
