Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
4567,44,1,36.8476300590569,19.094182475639247,5.0,5,9,1970,0.036122292,B,B,24,4378,0,1036.0,1,1,B,163405.60257257416
5925,62,1,42.49390721216511,42.49390721216511,10.0,7,17,2017,0.072157581,B,B,2,629,1,900.0,0,0,A,133177.071106695
960,27,2,59.46367829288154,32.772431056458856,9.0,19,19,1977,0.211401214,B,B,9,1892,0,900.0,0,1,B,227773.06313897728
3848,23,3,49.64602982741851,33.89382537068284,6.0,2,2,1965,0.014072961,B,B,2,475,0,900.0,0,0,B,182152.1289161372
746,74,1,53.83705552291424,32.772431056458856,1.0,8,17,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B,163253.87768141355
868,38,3,87.13999445192246,53.18041881361226,10.0,4,23,2011,0.060753049,B,B,15,2787,2,520.0,0,7,B,333077.29726904293
672,62,1,46.26945562647919,22.82023936961452,11.0,8,17,2014,0.072157581,B,B,2,629,1,900.0,0,0,A,159480.09528281062
2471,2,2,48.172968708932885,29.9242044182394,6.0,4,9,1974,0.0,B,B,33,7425,1,900.0,2,5,B,198973.21996405107
4510,1,1,43.15376113882693,21.017595539577567,9.0,10,17,2014,0.007122317,B,B,1,264,0,900.0,0,1,B,173330.73478251643
8354,62,2,62.5937866412943,59.78684445263104,10.0,1,16,1981,0.002211665,B,B,39,7614,3,900.0,1,5,A,219710.13422864777
6393,8,1,41.49650853339136,21.66420918533763,7.0,4,17,2009,0.43788524,B,B,23,5735,3,1084.0,0,5,B,174683.40758184774
13270,9,3,80.59947151905445,32.772431056458856,1.0,1,1,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B,232714.71296701403
5250,96,4,87.77638168144794,54.620539994927256,10.0,24,24,2014,0.041116354,B,B,53,14892,4,900.0,1,4,B,340602.11960635276
16751,74,1,54.6141699426221,32.772431056458856,1.0,8,17,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,163815.60730863386
11404,27,1,44.41551017635499,32.772431056458856,1.0,1,1,1977,0.072157581,B,B,2,629,1,900.0,0,0,A,142803.46336885903
10588,113,2,71.82875388902875,35.714191403901594,10.0,6,22,2004,0.050755569,B,B,24,5469,1,145.0,0,1,B,248683.68775621668
14925,22,2,61.41358310533283,32.772431056458856,1.0,13,17,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B,192653.39179259876
6791,1,3,72.02327542455551,32.772431056458856,1.0,4,24,1977,0.007122317,B,B,1,264,0,900.0,0,1,B,215429.9457290307
16097,57,1,44.323796217038144,19.876484711283165,12.0,4,16,2007,0.133215333,B,B,49,11395,3,1406.0,3,4,A,207675.49750785955
16428,170,3,77.0287905358431,47.07690066782445,10.0,13,17,1990,0.21843974,B,B,21,4472,6,1450.0,4,7,A,339180.91110915114
6945,53,3,85.18661187100972,32.772431056458856,11.0,11,12,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B,257081.88386485868
3190,9,2,64.86239597220232,32.772431056458856,1.0,1,1,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B,176281.55111184876
15709,48,3,86.48993470329461,86.16502319357315,1.0,1,1,2015,0.041124634,B,B,46,9515,5,900.0,1,10,B,274629.40012659517
13155,41,2,48.4407146464437,32.13878070944986,6.0,4,9,1979,0.394094211,B,B,3,662,0,35.0,0,0,B,202491.44109372218
